0,1
great food great,4.0362379689824224e-10
good food good,4.858312914427998e-10
food great service,6.22082351799e-10
good food great,6.725268152309052e-10
food great food,6.960949366238366e-10
food good food,8.671507736001002e-10
service great food,8.909667740579075e-10
service good food,9.574636725841744e-10
food good service,1.0076472900885863e-09
great food good,1.0632156635685364e-09
great service great,1.673880433865589e-09
place great food,2.291438841557202e-09
place good food,2.8114630501545114e-09
good service good,3.1707420649646394e-09
great service good,3.217471374743286e-09
good food,3.4400758905543323e-09
great customer service,3.5085395682174906e-09
great food service,3.560773461599484e-09
great food,3.6046213432941687e-09
great great food,3.9253835458906505e-09
good service great,4.033168342988062e-09
great good food,4.188169637707807e-09
good food service,4.568791360001661e-09
food great place,5.621185908195012e-09
good customer service,7.114638031731216e-09
good food nice,7.55649642868673e-09
great place great,7.98685330001243e-09
good food friendly,8.556100929515017e-09
staff great food,9.070685334065855e-09
service great service,9.205815255399823e-09
great food friendly,9.977822132050335e-09
great food love,1.0452792599975718e-08
staff good food,1.0866598748503469e-08
food great,1.12958620463051e-08
great service,1.1323461811781209e-08
food good place,1.2548003508058028e-08
good food love,1.2578007922738291e-08
service great place,1.2795824130347102e-08
great food nice,1.3256919332647361e-08
food good prices,1.3358645645284694e-08
great place good,1.3680957740950769e-08
delicious food great,1.3829139750807428e-08
food great staff,1.545282958573546e-08
food good,1.5707942721060466e-08
place great service,1.5983555755801996e-08
food fast service,1.601443733349725e-08
service good service,1.6185598194804768e-08
food friendly service,1.6519824395217763e-08
good service,1.6566916416882186e-08
food great prices,1.7139061292352378e-08
great great service,1.7284011108543538e-08
good food fast,1.7904891279990793e-08
back great food,1.9025621055268767e-08
food excellent service,1.9262870274928604e-08
delicious great food,1.949044383629422e-08
time great food,2.1083089140214657e-08
customer service great,2.1109957736806493e-08
service delicious food,2.19214628669286e-08
food friendly staff,2.2104087609184933e-08
great food excellent,2.2248226146231683e-08
delicious good food,2.324615029615391e-08
great place,2.337480414111378e-08
friendly great food,2.4301540126060374e-08
friendly service great,2.4546988005171557e-08
friendly good food,2.5250932011495538e-08
excellent food great,2.5935432164848734e-08
food great customer,2.622138194955629e-08
back good food,2.6363628179297672e-08
food delicious food,2.642902946136525e-08
great food fast,2.6913023499700607e-08
place good service,2.6953695852627047e-08
great staff great,2.9280402787504654e-08
good food excellent,2.9629689091822995e-08
customer service food,3.0091065365327665e-08
good place good,3.053826132390268e-08
food excellent food,3.068300846515687e-08
service excellent food,3.1116944290269286e-08
time good food,3.1279966401463285e-08
great food awesome,3.146216768458231e-08
fast food place,3.1814160294773945e-08
amazing food great,3.2434498486959504e-08
food great atmosphere,3.2723994519975726e-08
delicious food good,3.2802900973461615e-08
food,3.290743437034065e-08
friendly staff great,3.304579028728662e-08
great great place,3.315970343308732e-08
good fast food,3.445335140240653e-08
prices great food,3.473926324727926e-08
prices good food,3.492331647267285e-08
friendly service good,3.5207440789724564e-08
pretty good food,3.562340313499238e-08
service great,3.613672419009996e-08
great food delicious,3.6473345190726024e-08
great service friendly,3.663865246697829e-08
great service love,3.6830203258537095e-08
atmosphere great food,3.820898223781257e-08
fast service good,3.8638081745691465e-08
food nice place,3.875882371656114e-08
people great food,3.8812772311019505e-08
good food delicious,3.910279586240458e-08
amazing great food,3.916877995247228e-08
place great place,3.93900834244198e-08
great friendly service,4.021315514668348e-08
good mexican food,4.087656047369907e-08
atmosphere good food,4.093953585926651e-08
nice good food,4.183451646026567e-08
service good place,4.186981880019735e-08
good food original,4.294833357383823e-08
friendly staff good,4.380820322826326e-08
fast service great,4.390634180179927e-08
people good food,4.4944790206041687e-08
food great people,4.833954369645158e-08
service good,4.884910739703551e-08
restaurant good food,4.9723504966615864e-08
nice place good,4.990954415162689e-08
good fresh food,5.05068306728538e-08
food amazing food,5.053762403101839e-08
customer service,5.0701012475089314e-08
google good food,5.081418408622856e-08
restaurant great food,5.096965797706639e-08
awesome food great,5.149637311602036e-08
great food amazing,5.164151993733776e-08
good service nice,5.1965914969276626e-08
service food good,5.2479360216235294e-08
great service nice,5.2539271189306036e-08
good place,5.265682431223352e-08
food good great,5.2770937435118356e-08
awesome great food,5.31652370595951e-08
service amazing food,5.3238694419599634e-08
great pizza great,5.3447278573986257e-08
great prices great,5.390014884039751e-08
great great great,5.4801104909919256e-08
food good customer,5.576551167376834e-08
good quality food,5.5978172629332525e-08
great atmosphere great,5.685488485764678e-08
good service love,5.688870800580972e-08
eat good food,5.7047374289379715e-08
great food staff,5.75100152623763e-08
good prices good,5.753369159248009e-08
great service delicious,5.846834537928581e-08
food awesome food,5.853030420162075e-08
food food,5.918587660530272e-08
excellent great food,5.956783129474935e-08
delicious great service,5.970577067831831e-08
food great great,5.972190680533633e-08
nice great food,6.037804844572066e-08
good food clean,6.164099132134373e-08
excellent food good,6.243398772919846e-08
staff great service,6.268723018669043e-08
good great,6.29650783583512e-08
food good drinks,6.297460546051325e-08
great mexican food,6.329421538629566e-08
excellent food service,6.399190803196622e-08
good,6.39944080206744e-08
good service friendly,6.503596701435233e-08
great service service,6.508672891098471e-08
good place great,6.511122480415459e-08
excellent service great,6.526581470597792e-08
food good people,6.537424029969701e-08
good food awesome,6.669510265400412e-08
great people great,6.762083059223666e-08
food great drinks,6.83821075776422e-08
good prices great,6.934407140773443e-08
great fresh food,6.963434996966617e-08
great,7.11385367510789e-08
great fast food,7.17011148462173e-08
excellent customer service,7.280953683447934e-08
amazing good food,7.29249932458412e-08
good service service,7.317239183901323e-08
great staff good,7.562398926216451e-08
nice place great,7.569260779199574e-08
good pizza good,7.595659554309387e-08
fast friendly service,7.68868961431955e-08
good food place,7.690711827519437e-08
good food staff,7.76642204672454e-08
